1,2,3,4,5
6.46,0.59,2.68,6.31,5.35
5.71,2.29,4.95,4.98,3.06
3.56,2.86,3.04,6.05,10.0
9.87,1.81,3.2,4.66,2.19
6.06,1.28,4.92,3.51,3.86
2.37,1.06,1.84,6.99,3.15
1.02,0.86,0.29,6.83,10.0
1.53,5.31,4.38,6.09,5.24
2.46,3.55,2.2,3.69,10.0
1.61,6.71,1.27,5.47,1.37
1.87,0.27,5.62,4.25,5.55
2.85,2.63,1.35,2.14,9.13
1.73,5.57,1.89,7.97,4.79
8.97,0.4,2.79,2.62,10.0
0.8,0.14,2.58,8.42,2.96
5.25,2.7,1.71,4.72,10.0
4.1,1.71,3.9,3.04,10.0
9.82,3.69,1.39,5.21,3.35
1.12,0.3,4.66,7.48,3.14
3.98,3.17,6.16,6.34,10.0
9.69,0.45,3.07,6.89,10.0
8.66,0.36,3.12,5.87,2.95
8.17,0.36,1.35,6.08,3.2
2.58,3.37,7.24,7.25,3.58
1.71,2.19,1.19,3.53,1.53
6.69,1.48,2.85,4.95,2.15
9.29,0.89,5.14,3.33,2.01
5.57,4.19,1.56,9.21,2.42
5.72,1.0,2.61,8.33,4.36
2.8,3.39,1.4,1.4,5.41
7.69,1.16,3.88,6.16,10.0
1.87,0.95,4.64,8.07,2.02
3.24,1.24,1.28,3.0,9.85
4.25,0.72,0.55,5.35,3.78
5.08,2.75,0.17,7.94,4.31
2.42,1.4,1.59,1.3,7.69
1.15,0.53,2.67,6.11,1.83
6.11,4.6,5.3,3.86,6.09
2.89,0.97,3.07,8.06,5.12
5.81,1.57,2.5,8.8,6.65
1.54,4.74,4.04,8.33,5.65
4.81,1.96,3.7,4.87,10.0
5.33,0.25,2.21,7.37,2.69
0.52,5.62,0.91,7.21,2.93
3.37,1.98,4.26,3.99,2.72
1.34,0.82,3.08,7.08,2.87
0.63,0.3,0.87,1.36,2.69
9.9,3.16,3.2,5.51,10.0
3.22,1.94,1.72,3.39,10.0
8.1,1.52,5.24,2.46,2.84
