Id�,�rt�k
1,0.52
2,0.52
3,0.43
4,0.1
5,0.44
6,1.64
7,2.04
8,0.65
9,-2.47
10,-4.67
11,-7.16
12,-9.88
13,-12.58
14,-14.77
15,-18.25
16,-21.28
17,-22.8
18,-23.57
19,-24.38
20,-24.97
21,-24.95
22,-27.55
23,-28.52
24,-28.03
25,-28.18
26,-28.94
27,-29.13
28,-29.18
29,-31.3
30,-31.53
31,-30.97
32,-29.61
33,-28.94
34,-27.21
35,-25.09
36,-22.89
37,-22.15
38,-20.84
39,-18.75
40,-15.71
41,-13.69
42,-13.0
43,-10.41
44,-8.74
45,-8.13
46,-6.62
47,-5.01
48,-3.26
49,-2.2
50,-1.25
